Phage	MAGs	Link	Ratio	GTDB	Species	Genus	Family	Order
k141_330972	bin.85	75	0.8588958892057952	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis	Alistipes communis	Alistipes	Rikenellaceae	Bacteroidales
k141_3605	bin.84	168	1.9180323126908407	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus	Eubacterium_I ramulus	Eubacterium_I	Lachnospiraceae	Lachnospirales
k141_118838	bin.83	5664	2.614195951609315	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	CAG-115 sp003531585	CAG-115	Ruminococcaceae	Oscillospirales
k141_384266	bin.82	30	4.807587476114351	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens	Slackia isoflavoniconvertens	Slackia	Eggerthellaceae	Coriobacteriales
k141_215121	bin.80	73	6.018739679727132	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1696;s__UMGS1696 sp900753285	UMGS1696 sp900753285	UMGS1696	CAG-272	Oscillospirales
k141_135509	bin.79	60	31.97936581764688	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter hominis	Butyribacter hominis	Butyribacter	Lachnospiraceae	Lachnospirales
k141_261893	bin.78	43	6.885964639623584	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436475	Lachnospira sp000436475	Lachnospira	Lachnospiraceae	Lachnospirales
k141_249925	bin.77	524	0.7163969435093317	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	Lawsonibacter asaccharolyticus	Lawsonibacter	Oscillospiraceae	Oscillospirales
k141_73931	bin.75	16	1.1270467725814703	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	Mediterraneibacter torques	Mediterraneibacter	Lachnospiraceae	Lachnospirales
k141_41913	bin.74	399	0.5418595598374256	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	Gemmiger sp900539695	Gemmiger	Ruminococcaceae	Oscillospirales
k141_17708	bin.71	332	2.793416030661459	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	Agathobacter rectalis	Agathobacter	Lachnospiraceae	Lachnospirales
k141_69345	bin.7	2073	26.557396095805924	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	Roseburia hominis	Roseburia	Lachnospiraceae	Lachnospirales
k141_124056	bin.68	153	9.162960164781378	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	Faecalibacillus intestinalis	Faecalibacillus	Coprobacillaceae	Erysipelotrichales
k141_232050	bin.66	155	6.28933763809036	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	Gallintestinimicrobium propionicum	Gallintestinimicrobium	Lachnospiraceae	Lachnospirales
k141_293832	bin.64	458	8.45929226347612	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	Lachnospira eligens_A	Lachnospira	Lachnospiraceae	Lachnospirales
k141_159683	bin.63	17	0.5679627298790296	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	Agathobaculum butyriciproducens	Agathobaculum	Butyricicoccaceae	Oscillospirales
k141_284312	bin.62	20	11.124627788921233	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Laedolimicola;s__Laedolimicola ammoniilytica	Laedolimicola ammoniilytica	Laedolimicola	Lachnospiraceae	Lachnospirales
k141_163745	bin.61	45	0.8272928183394553	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__UBA3402 sp003478355	UBA3402 sp003478355	UBA3402	Lachnospiraceae	Lachnospirales
k141_118899	bin.60	36	13.055348400885588	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus massiliensis	Negativibacillus massiliensis	Negativibacillus	Ruminococcaceae	Oscillospirales
k141_208928	bin.58	2439	1.6345566706182828	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	Ruminococcus_C callidus	Ruminococcus_C	Ruminococcaceae	Oscillospirales
k141_32376	bin.57	2845	0.6424632670481074	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E intestinalis	Ruminococcus_E intestinalis	Ruminococcus_E	Acutalibacteraceae	Oscillospirales
k141_301564	bin.56	13	0.5639125394744268	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus_A	Coprococcus_A catus_A	Coprococcus_A	Lachnospiraceae	Lachnospirales
k141_273747	bin.55	52	5.586398431940827	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	Alitiscatomonas aceti	Alitiscatomonas	Lachnospiraceae	Lachnospirales
k141_262346	bin.52	14	3.5451362835149918	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas sp900066535	Alitiscatomonas sp900066535	Alitiscatomonas	Lachnospiraceae	Lachnospirales
k141_198542	bin.50	1136	3.621337403663495	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter segnis	Dysosmobacter segnis	Dysosmobacter	Oscillospiraceae	Oscillospirales
k141_237829	bin.48	87	2.542768688559334	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	Ruminococcus_C callidus	Ruminococcus_C	Ruminococcaceae	Oscillospirales
k141_324244	bin.47	418	2.520548934867225	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	Sutterella wadsworthensis	Sutterella	Burkholderiaceae	Burkholderiales
k141_30300	bin.46	343	5.084272260904426	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735	Lachnospira sp000437735	Lachnospira	Lachnospiraceae	Lachnospirales
k141_228057	bin.45	27	1.1611359968702628	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A fusiformis	Blautia_A fusiformis	Blautia_A	Lachnospiraceae	Lachnospirales
k141_74393	bin.44	11	90.46006659771449	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominifimenecus;s__Hominifimenecus microfluidus	Hominifimenecus microfluidus	Hominifimenecus	Lachnospiraceae	Lachnospirales
k141_9732	bin.43	121	0.8467728268989022	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Dialister invisus	Dialister	Dialisteraceae	Veillonellales
k141_287172	bin.42	2998	17.434594578173392	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	Coprococcus aceti	Coprococcus	Lachnospiraceae	Lachnospirales
k141_338747	bin.40	83	1.3498260046875414	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia gabavorous	Evtepia gabavorous	Evtepia	Oscillospiraceae	Oscillospirales
k141_343186	bin.39	2052	2.872934936880579	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	Hominicoprocola fusiformis	Hominicoprocola	Oscillospiraceae	Oscillospirales
k141_147653	bin.36	424	1.367358162834046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas cirricatena	Vescimonas cirricatena	Vescimonas	Oscillospiraceae	Oscillospirales
k141_212689	bin.35	27	5.687725253215684	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635	Faecousia sp000434635	Faecousia	Oscillospiraceae	Oscillospirales
k141_30722	bin.34	1353	0.7733985795315204	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Alistipes putredinis	Alistipes	Rikenellaceae	Bacteroidales
k141_128435	bin.31	13	62.97353254140226	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	Anaerobutyricum hallii	Anaerobutyricum	Lachnospiraceae	Lachnospirales
k141_286919	bin.29	211	3.0001135296875767	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_C;s__Roseburia_C amylophila	Roseburia_C amylophila	Roseburia_C	Lachnospiraceae	Lachnospirales
k141_360270	bin.27	74	4.93187127252796	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia sp003474385	Senegalimassilia sp003474385	Senegalimassilia	Eggerthellaceae	Coriobacteriales
k141_98861	bin.25	2011	0.6812462651221007	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis	Gemmiger	Ruminococcaceae	Oscillospirales
k141_326566	bin.22	65	3.788871545958421	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Avimicrobium;s__Avimicrobium caecorum	Avimicrobium caecorum	Avimicrobium	Ruminococcaceae	Oscillospirales
k141_20222	bin.21	67	14.181970600293672	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900542445	Ventricola sp900542445	Ventricola	Aristaeellaceae	Christensenellales
k141_388360	bin.2	143	1.561497644404192	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	Faecalibacterium sp900539945	Faecalibacterium	Ruminococcaceae	Oscillospirales
k141_299005	bin.177	1063	1.2100332009041466	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Actinomycetales
k141_184075	bin.176	193	0.6575245147901129	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A	Sutterella wadsworthensis_A	Sutterella	Burkholderiaceae	Burkholderiales
k141_180002	bin.175	586	0.6921464108447525	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Oscillospirales
k141_337728	bin.173	59	1.821520452601343	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	unknown	Blautia_A	Lachnospiraceae	Lachnospirales
k141_252742	bin.172	114	30.746954077708057	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae	Lachnospirales
k141_240177	bin.171	162	0.6570178527457703	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Alistipes putredinis	Alistipes	Rikenellaceae	Bacteroidales
k141_255524	bin.170	53	7.151358186151794	d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	Hominilimicola fabiformis	Hominilimicola	UBA1381	UBA1381
k141_289820	bin.17	174	15.601000460918778	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum	Negativibacillus faecipullorum	Negativibacillus	Ruminococcaceae	Oscillospirales
k141_336634	bin.169	462	14.316791798700534	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__	unknown	Butyribacter	Lachnospiraceae	Lachnospirales
k141_267043	bin.168	80	0.8816896696561023	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Bacteroides uniformis	Bacteroides	Bacteroidaceae	Bacteroidales
k141_385265	bin.166	27	1.2084411513609334	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	Bifidobacterium catenulatum	Bifidobacterium	Bifidobacteriaceae	Actinomycetales
k141_299288	bin.165	922	0.6266105896847405	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	unknown	Faecalibacterium	Ruminococcaceae	Oscillospirales
k141_115964	bin.163	744	3.137454616988636	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp944387035	Dysosmobacter sp944387035	Dysosmobacter	Oscillospiraceae	Oscillospirales
k141_217494	bin.162	894	1.8109183485967533	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	CAG-170 sp000432135	CAG-170	Oscillospiraceae	Oscillospirales
k141_352417	bin.161	29	3.417410877963498	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp003516765	CAG-170 sp003516765	CAG-170	Oscillospiraceae	Oscillospirales
k141_136631	bin.153	500	5.179507653596514	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	Eubacterium_G ventriosum	Eubacterium_G	Lachnospiraceae	Lachnospirales
k141_181898	bin.152	70	0.9359463209259448	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum_D	Bifidobacterium longum_D	Bifidobacterium	Bifidobacteriaceae	Actinomycetales
k141_88851	bin.151	172	1.0442449653649704	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UBA7185;s__UBA7185 sp902462325	UBA7185 sp902462325	UBA7185	Peptococcaceae	Peptococcales
k141_192741	bin.15	19	2.07083511818459	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA11774;s__UBA11774 sp003507655	UBA11774 sp003507655	UBA11774	Lachnospiraceae	Lachnospirales
k141_597	bin.149	39	0.266133221388323	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	Hominenteromicrobium mulieris	Hominenteromicrobium	Acutalibacteraceae	Oscillospirales
k141_330441	bin.146	100	15.130111583022282	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp900544245	QAMH01 sp900544245	QAMH01	QAMH01	Coriobacteriales
k141_149553	bin.140	170	28.20613693812507	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis	Wujia chipingensis	Wujia	Lachnospiraceae	Lachnospirales
k141_201649	bin.132	1259	0.9358130596624908	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter intestini	Butyribacter intestini	Butyribacter	Lachnospiraceae	Lachnospirales
k141_204188	bin.130	23	5.655168111590063	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	Anthropogastromicrobium aceti	Anthropogastromicrobium	Lachnospiraceae	Lachnospirales
k141_140998	bin.13	96	3.4356292219770914	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira hominis	Lachnospira hominis	Lachnospira	Lachnospiraceae	Lachnospirales
k141_212002	bin.129	52	2.0497157855050605	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis	Oliverpabstia intestinalis	Oliverpabstia	Lachnospiraceae	Lachnospirales
k141_389690	bin.128	178	0.8084898637030236	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae	Lachnospirales
k141_181912	bin.124	10	0.6962417255564849	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	Blautia_A obeum	Blautia_A	Lachnospiraceae	Lachnospirales
k141_144337	bin.116	17	2.566348883964824	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	Parasutterella excrementihominis	Parasutterella	Burkholderiaceae	Burkholderiales
k141_69453	bin.10	127	2.3824044378126388	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Alistipes onderdonkii	Alistipes	Rikenellaceae	Bacteroidales
